org.apache.commons.math.dfp.Dfp:1286	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1287	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1292	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1293	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1295	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1297	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1302	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1303	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1304	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1307	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1314	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1315	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1316	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1324	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1332	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1333	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1351	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1352	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1368	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1370	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1371	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1372	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1373	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1374	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1377	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1384	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1390	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1396	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1398	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1399	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1402	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1413	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1420	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1423	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1460	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1462	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1463	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1464	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1465	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1466	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1468	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1469	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1471	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1475	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1476	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1477	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1478	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1479	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1484	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1485	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1489	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1490	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1492	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1494	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1498	1.0 62.0 0.1259881576697424
org.apache.commons.math.dfp.Dfp:1499	1.0 62.0 0.1259881576697424
